filename,count,bit
out-051.5,25165752,1
out-051.6,30,0
out-051.6,25165754,1
out-051.7,30,0
out-051.7,25165754,1
out-051.8,30,0
out-051.8,25165754,1
out-051.9,33,0
out-051.9,25165751,1
out-052.0,30,0
out-052.0,25165754,1
out-052.1,30,0
out-052.1,25165754,1
out-052.2,30,0
out-052.2,25165754,1
out-052.3,30,0
out-052.3,25165754,1
out-052.4,30,0
out-052.4,25165754,1
out-052.5,33,0
out-052.5,25165751,1
out-052.6,30,0
out-052.6,25165754,1
out-052.7,30,0
out-052.7,25165754,1
out-052.8,30,0
out-052.8,25165754,1
out-052.9,33,0
out-052.9,25165751,1
out-053.0,33,0
out-053.0,25165751,1
out-053.1,33,0
out-053.1,25165751,1
out-053.2,36,0
out-053.2,25165748,1
out-053.3,36,0
out-053.3,25165748,1
out-053.4,36,0
out-053.4,25165748,1
out-053.5,63,0
out-053.5,25165721,1
out-053.6,78,0
out-053.6,25165706,1
out-053.7,94,0
out-053.7,25165690,1
out-053.8,101,0
out-053.8,25165683,1
out-053.9,133,0
out-053.9,25165651,1
out-054.0,135,0
out-054.0,25165649,1
out-054.1,188,0
out-054.1,25165596,1
out-054.2,221,0
out-054.2,25165563,1
out-054.3,285,0
out-054.3,25165499,1
out-054.4,342,0
out-054.4,25165442,1
out-054.5,425,0
out-054.5,25165359,1
out-054.6,575,0
out-054.6,25165209,1
out-054.7,724,0
out-054.7,25165060,1
out-054.8,890,0
out-054.8,25164894,1
out-054.9,1127,0
out-054.9,25164657,1
out-055.0,1460,0
out-055.0,25164324,1
out-055.1,1788,0
out-055.1,25163996,1
out-055.2,2153,0
out-055.2,25163631,1
out-055.3,2663,0
out-055.3,25163121,1
out-055.4,3268,0
out-055.4,25162516,1
out-055.5,4001,0
out-055.5,25161783,1
out-055.6,4950,0
out-055.6,25160834,1
out-055.7,6162,0
out-055.7,25159622,1
out-055.8,7591,0
out-055.8,25158193,1
out-055.9,9322,0
out-055.9,25156462,1
out-056.0,11415,0
out-056.0,25154369,1
out-056.1,13717,0
out-056.1,25152067,1
out-056.2,16762,0
out-056.2,25149022,1
out-056.3,20559,0
out-056.3,25145225,1
out-056.4,25012,0
out-056.4,25140772,1
out-056.5,29899,0
out-056.5,25135885,1
out-056.6,35570,0
out-056.6,25130214,1
out-056.7,42757,0
out-056.7,25123027,1
out-056.8,50958,0
out-056.8,25114826,1
out-056.9,60646,0
out-056.9,25105138,1
out-057.0,72820,0
out-057.0,25092964,1
out-057.1,85825,0
out-057.1,25079959,1
out-057.2,102156,0
out-057.2,25063628,1
out-057.3,121212,0
out-057.3,25044572,1
out-057.4,143528,0
out-057.4,25022256,1
out-057.5,170510,0
out-057.5,24995274,1
out-057.6,200885,0
out-057.6,24964899,1
out-057.7,237054,0
out-057.7,24928730,1
out-057.8,282813,0
out-057.8,24882971,1
out-057.9,328675,0
out-057.9,24837109,1
out-058.0,387717,0
out-058.0,24778067,1
out-058.1,449772,0
out-058.1,24716012,1
out-058.2,532658,0
out-058.2,24633126,1
out-058.3,604293,0
out-058.3,24561491,1
out-058.4,701247,0
out-058.4,24464537,1
out-058.5,807549,0
out-058.5,24358235,1
out-058.6,963468,0
out-058.6,24202316,1
out-058.7,1151669,0
out-058.7,24014115,1
out-058.8,1307367,0
out-058.8,23858417,1
out-058.9,1498773,0
out-058.9,23667011,1
out-059.0,1693710,0
out-059.0,23472074,1
out-059.1,1979531,0
out-059.1,23186253,1
out-059.2,2275523,0
out-059.2,22890261,1
out-059.3,2689629,0
out-059.3,22476155,1
out-059.4,3002581,0
out-059.4,22163203,1
out-059.5,3386818,0
out-059.5,21778966,1
out-059.6,3647710,0
out-059.6,21518074,1
out-059.7,4063717,0
out-059.7,21102067,1
out-059.8,4516071,0
out-059.8,20649713,1
out-059.9,4833186,0
out-059.9,20332598,1
out-060.0,5166228,0
out-060.0,19999556,1
out-060.1,5474077,0
out-060.1,19691707,1
out-060.2,5790181,0
out-060.2,19375603,1
out-060.3,6007561,0
out-060.3,19158223,1
out-060.4,6274893,0
out-060.4,18890891,1
out-060.5,6470765,0
out-060.5,18695019,1
out-060.6,6716262,0
out-060.6,18449522,1
out-060.7,6877062,0
out-060.7,18288722,1
out-060.8,6984604,0
out-060.8,18181180,1
out-060.9,7134965,0
out-060.9,18030819,1
out-061.0,7304586,0
out-061.0,17861198,1
out-061.1,7299160,0
out-061.1,17866624,1
out-061.2,7403236,0
out-061.2,17762548,1
out-061.3,7536363,0
out-061.3,17629421,1
out-061.4,7621183,0
out-061.4,17544601,1
out-061.5,7807966,0
out-061.5,17357818,1
out-061.6,7869347,0
out-061.6,17296437,1
out-061.7,7980160,0
